"sp_id","kernel","kernel_sd","e_mu","e_sd","b0g","b0g_sd","b0em","b0em_sd","b0am","b0am_sd","b0jg","b0jg_sd","b0ag","b0ag_sd","sestra","dyad","floron","floron_sd","floroff","floroff_sd","seedon","seedon_sd","seedoff","seedoff_sd","max_mass","min_mass","min_mass_sd","max_span","max_span_sd","mass_mu","mass_sd","abund"
"p-11","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,2
"p-12","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,13
"p-13","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,14
"p-14","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,5
"p-15","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,11
"p-16","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,8
"p-17","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,20
"p-18","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,3
"p-19","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,19
"p-20","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,10
"p-21","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,4
"p-22","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,14
"p-23","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,5
"p-24","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,2
"p-25","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,11
"p-26","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,14
"p-27","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,16
"p-28","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,16
"p-29","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,9
"p-30","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,13
"p-31","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,11
"p-32","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,11
"p-33","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,12
"p-34","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,4
"p-35","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,2
"p-36","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,18
"p-37","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,16
"p-38","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,20
"p-39","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,12
"p-40","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,16
"p-41","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,16
"p-42","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,16
"p-43","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,12
"p-44","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,10
"p-45","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,4
"p-46","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,5
"p-47","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,7
"p-48","a",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,17
"p-49","w",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,13
"p-50","wa",0.1,0.001,140,1.5029e+11,1.5029e+13,1.5029e+11,1.5029e+13,4752700000,4.7527e+11,6702600000,6.7026e+11,33513000,3351300000,0,0,12,24,1,12,12,37,1,5,0,0.1,0.5,1,50,0,1e-04,4
