"sp_id","kernel","kernel_sd","e_mu","e_sd","b0g","b0g_sd","b0em","b0em_sd","b0am","b0am_sd","b0jg","b0jg_sd","b0ag","b0ag_sd","sestra","dyad","floron","floron_sd","floroff","floroff_sd","seedon","seedon_sd","seedoff","seedoff_sd","max_mass","min_mass","min_mass_sd","max_span","max_span_sd","mass_mu","mass_sd","abund"
"p-13","a",0.1,0.0620561686388683,0.07,15511255867323.5,1.80348e+12,1559593326990.88,1.80348e+12,47357674122.8189,38021600000,1351603850.20131,1340520000,272087769.723731,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,18
"p-14","a",0.1,0.0163984469582792,0.007,12230154363035.5,1.80348e+12,1785755964838.17,1.80348e+12,42019384435.4522,38021600000,1512865349.75848,1340520000,393312111.417286,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,20
"p-15","wa",0.1,0.0334539583006408,0.007,17555797205666.9,1.80348e+12,1479867733686.86,1.20232e+12,38373094800.5962,38021600000,1512726881.10303,1340520000,374486082.374764,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,5
"p-16","wa",0.1,0.0473384922698606,0.07,12805891600702,1.80348e+12,1248807062444.3,1.20232e+12,50043237139.3015,57032400000,1920527653.3354,2010780000,382561719.525179,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,10
"p-17","w",0.1,0.0362432543155737,0.007,15640522409452.3,1.80348e+12,1672196049486.45,1.80348e+12,41464240468.4872,38021600000,1520343671.05581,1340520000,302544729.925867,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,4
"p-18","a",0.1,0.0563326962906867,0.07,14371815120989.9,1.80348e+12,1565127055185.18,1.80348e+12,55071610684.0863,57032400000,1944970810.44293,2010780000,319113088.649243,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,9
"p-19","w",0.1,0.0346052234929521,0.007,16126465989656.2,1.80348e+12,1426550519249.63,1.20232e+12,39039647117.6754,38021600000,1477282648.17927,1340520000,312549573.69266,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,18
"p-20","wa",0.1,0.0371606099186465,0.007,12645077985084.1,1.80348e+12,1505679527744.45,1.80348e+12,53159258090.6128,57032400000,1849307482.10528,2010780000,358995601.918157,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,2
"p-21","a",0.1,0.0314464722760022,0.007,16112151699791.7,1.80348e+12,1306775780731.76,1.20232e+12,48604944363.5281,57032400000,1939919423.42307,2010780000,278728719.978587,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,16
"p-22","wa",0.1,0.0683679919498973,0.07,12129883041043.8,1.80348e+12,1381130139716.99,1.20232e+12,56934284593.7793,57032400000,1551642823.99563,1340520000,288583172.704526,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,6
"p-23","wa",0.1,0.0230174652435817,0.007,13553282226744.5,1.80348e+12,1333145673308.22,1.20232e+12,51931065587.4799,57032400000,1895966389.89855,2010780000,382975059.015071,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,3
"p-24","w",0.1,0.0235226288328413,0.007,17026956035669.4,1.80348e+12,1311132863285.35,1.20232e+12,40804968334.0546,38021600000,1718951943.4648,2010780000,275298212.321475,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,7
"p-25","wa",0.1,0.033384719878668,0.007,16345134113769.2,1.80348e+12,1248674471292.69,1.20232e+12,46801379261.144,38021600000,1413975218.20592,1340520000,315151377.685597,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,15
"p-26","w",0.1,0.0368427580355201,0.007,14763937502802.8,1.80348e+12,1571884522531.56,1.80348e+12,48606753298.0782,57032400000,1393130154.03918,1340520000,305755616.755659,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,19
"p-27","w",0.1,0.0278176846744027,0.007,12829853168354.3,1.80348e+12,1259389621864.11,1.20232e+12,50930353096.2905,57032400000,1626482696.29623,1340520000,300954606.133877,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,3
"p-28","a",0.1,0.0192375770420767,0.007,13639806443303.8,1.80348e+12,1537878233262.38,1.80348e+12,51451775006.8148,57032400000,1812355594.80789,2010780000,351361045.117959,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,19
"p-29","w",0.1,0.0570165552326944,0.07,14784783688647.5,1.80348e+12,1316006887469.11,1.20232e+12,47499149713.9743,38021600000,2002166432.67196,2010780000,397306450.105894,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,14
"p-30","w",0.1,0.0192970556556247,0.007,13118694420385.5,1.80348e+12,1683149120842.2,1.80348e+12,38602599413.9751,38021600000,1910532787.29568,2010780000,275317712.713212,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,4
"p-31","a",0.1,0.033889099372318,0.007,15226106325672.2,1.80348e+12,1479439325613.02,1.20232e+12,41187782991.1287,38021600000,1552374247.70791,1340520000,279498818.595967,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,15
"p-32","wa",0.1,0.0612258094521239,0.07,15720728134358.6,1.80348e+12,1511904763305.03,1.80348e+12,40825558940.0406,38021600000,1454478036.28176,1340520000,381837071.592283,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,15
"p-33","wa",0.1,0.0303034991789609,0.007,17903365120925.7,1.80348e+12,1738688761360.44,1.80348e+12,39553862477.0004,38021600000,1846825204.52977,2010780000,281510834.928744,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,14
"p-34","w",0.1,0.0333555381298065,0.007,14956305885976.6,1.80348e+12,1270410641193.43,1.20232e+12,41714649038.6815,38021600000,1572021714.8033,1340520000,304459703.8256,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,17
"p-35","wa",0.1,0.010806139907334,0.007,12352459319979,1.80348e+12,1216369287980.67,1.20232e+12,51747164238.0549,57032400000,1391994855.72935,1340520000,388586944.49896,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,14
"p-36","a",0.1,0.0192906897175126,0.007,17493800405892.8,1.80348e+12,1480272921411.49,1.20232e+12,54102618239.7211,57032400000,1790021848.12518,2010780000,370593602.321195,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,20
"p-37","wa",0.1,0.0683385465964675,0.07,16499112777875.4,1.80348e+12,1371227833638.63,1.20232e+12,55518727973.9874,57032400000,1398820524.52359,1340520000,358737233.088601,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,15
"p-38","w",0.1,0.00816765841585584,0.007,15323121734713.3,1.80348e+12,1484120572763.06,1.20232e+12,50913790243.3409,57032400000,1892578464.16006,2010780000,386866404.752241,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,16
"p-39","w",0.1,0.0417131875038613,0.07,14921213079423.7,1.80348e+12,1398673867216.17,1.20232e+12,55339518959.5057,57032400000,1768065005.78949,2010780000,304544466.096813,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,9
"p-40","w",0.1,0.0590794565086253,0.07,14113552773544.2,1.80348e+12,1772669993194.23,1.80348e+12,49515566382.1378,57032400000,1894640080.23536,2010780000,274709951.336391,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,18
"p-41","w",0.1,0.0648777719011996,0.07,15359516259232.2,1.80348e+12,1444322438464.76,1.20232e+12,44834343258.6237,38021600000,1571114840.81207,1340520000,319611509.047668,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,15
"p-42","w",0.1,0.0265879749078304,0.007,13172764105875.9,1.80348e+12,1634900426715.18,1.80348e+12,55034978085.2004,57032400000,1430916291.5186,1340520000,382218632.744618,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,4
"p-43","a",0.1,0.0106688939856831,0.007,16931534735928.3,1.80348e+12,1612528541020.16,1.80348e+12,45590218736.4534,38021600000,1753661174.13168,2010780000,298176368.452767,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,16
"p-44","wa",0.1,0.0108661440871656,0.007,16523873121789.8,1.80348e+12,1528183810594.77,1.80348e+12,42482793573.855,38021600000,1487163467.55821,1340520000,393518558.718489,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,7
"p-45","a",0.1,0.0474710691885557,0.07,14581611598391.2,1.80348e+12,1395406344440.84,1.20232e+12,56904870235.9425,57032400000,1694981560.15,2010780000,393553829.488364,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,19
"p-46","w",0.1,0.0397766945855692,0.07,13941797217983,1.80348e+12,1514883436088.69,1.80348e+12,47136558027.9528,38021600000,1457013272.60331,1340520000,280846194.995675,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,10
"p-47","w",0.1,0.0253633359977975,0.007,12631931285600.1,1.80348e+12,1505129695063.54,1.80348e+12,44324633555.1743,38021600000,1781814285.26154,2010780000,271221278.37009,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,8
"p-48","wa",0.1,0.0174263370276894,0.007,14693511190118.8,1.80348e+12,1435558962745.63,1.20232e+12,54908567027.8225,57032400000,1483422113.29338,1340520000,300465420.349983,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,19
"p-49","a",0.1,0.0642119062629063,0.07,14571785222548.2,1.80348e+12,1795764020734.61,1.80348e+12,49844121753.4983,57032400000,1713326978.68205,2010780000,373236957.600678,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,19
"p-50","wa",0.1,0.0616761803580448,0.07,17906486693538.7,1.80348e+12,1334804282598.48,1.20232e+12,43278538300.4325,38021600000,1415852354.07217,1340520000,349795948.353896,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,13
"p-51","a",0.1,0.0260352136713918,0.007,17697748804672.5,1.80348e+12,1348355396761.21,1.20232e+12,45412105894.3742,38021600000,1564386473.59923,1340520000,319166438.006127,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,20
"p-52","a",0.1,0.0108806583269034,0.007,12458505364516.9,1.80348e+12,1474642813868.27,1.20232e+12,43450212040.3569,38021600000,1998668305.36277,2010780000,302605938.347868,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,3
"p-53","w",0.1,0.0387600466473959,0.07,14591013266506.7,1.80348e+12,1364806358364.35,1.20232e+12,47710560582.1133,57032400000,1965597528.45647,2010780000,378059659.343306,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,9
"p-54","a",0.1,0.0398929662466981,0.07,15555762968547.5,1.80348e+12,1714074289785.75,1.80348e+12,39477007618.918,38021600000,1482365545.30579,1340520000,314721321.955682,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,14
"p-55","wa",0.1,0.0547622170173563,0.07,13011703942797,1.80348e+12,1697916069017.8,1.80348e+12,56202378411.6619,57032400000,1457525864.35674,1340520000,401111103.551678,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,6
"p-56","wa",0.1,0.0315616363608278,0.007,14780565583446.9,1.80348e+12,1472680915858.92,1.20232e+12,39737725415.0218,38021600000,1646782961.49595,1340520000,379048713.360672,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,20
"p-57","wa",0.1,0.0287218206352554,0.007,15792625560449.4,1.80348e+12,1516260370870.88,1.80348e+12,51213466210.2433,57032400000,1573185987.76063,1340520000,352821099.308275,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,10
"p-58","a",0.1,0.0510893269237131,0.07,14963074824158.9,1.80348e+12,1519801388816.81,1.80348e+12,53928715571.6484,57032400000,1853935245.66178,2010780000,399816991.364119,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,9
"p-59","w",0.1,0.0277959796376526,0.007,15200947547511.8,1.80348e+12,1255961292533.18,1.20232e+12,53349942235.2865,57032400000,1361758326.57161,1340520000,399292913.030257,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,13
"p-60","w",0.1,0.0129086263868958,0.007,17833497973880.2,1.80348e+12,1412069328742.29,1.20232e+12,54530353470.862,57032400000,1456362643.22405,1340520000,394143352.475739,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,2
"p-61","a",0.1,0.0503963535944931,0.07,14057938866315.8,1.80348e+12,1341509039778.72,1.20232e+12,52541778674.334,57032400000,1750261945.17982,2010780000,272628988.179822,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,10
"p-62","a",0.1,0.0142593647835311,0.007,13316482259535.2,1.80348e+12,1388805382139.05,1.20232e+12,47079650528.7002,38021600000,1795891878.21583,2010780000,286526613.283957,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,7
"p-63","a",0.1,0.0338861159218941,0.007,17757989316480.1,1.80348e+12,1345423360351.92,1.20232e+12,54404987015.1027,57032400000,1623094576.11064,1340520000,387213489.683652,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,3
"p-64","wa",0.1,0.0500720078947488,0.07,12560394076764.2,1.80348e+12,1583139046779.95,1.80348e+12,47069798224.983,38021600000,1648039977.60775,1340520000,311830470.186459,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,15
"p-65","wa",0.1,0.0150526318401098,0.007,15893277841623.7,1.80348e+12,1622465893523.73,1.80348e+12,38105962902.0619,38021600000,1462251950.41998,1340520000,279386137.05999,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,4
"p-66","w",0.1,0.0492626892547123,0.07,17211841924201.4,1.80348e+12,1213079694977.04,1.20232e+12,47470700873.1111,38021600000,1932872992.088,2010780000,329668511.143807,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,2
"p-67","w",0.1,0.0174253786136396,0.007,13841393928119.3,1.80348e+12,1471765760013.23,1.20232e+12,52154573135.2602,57032400000,1947547744.90073,2010780000,351986995.258078,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,14
"p-68","a",0.1,0.0521090650097467,0.07,12798327031348.9,1.80348e+12,1747490832265.35,1.80348e+12,43285312119.1514,38021600000,1824002853.15726,2010780000,302100509.114441,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,17
"p-69","a",0.1,0.028755436165724,0.007,13869991885546.5,1.80348e+12,1546240568865.1,1.80348e+12,41203420650.6684,38021600000,1573642846.38547,1340520000,340279183.739123,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,16
"p-70","w",0.1,0.0416624096012674,0.07,15582345087476.4,1.80348e+12,1327361759872.38,1.20232e+12,42338921740.5324,38021600000,1410986051.82644,1340520000,288020173.145084,402156000,0,0,12,13,24,25,25,26,37,38,0,0.1,0.5,1,50,0,1e-04,16
